file_name,caption_1,caption_2,caption_3,caption_4,caption_5,final_caption,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
street_market.wav,A group of people talking outside with birds chirping in the background.,People talk and walk as birds chirp in the distance,People walk by while birds chirp out in the distance.,Several people talking to each other and birds chirping outside.,The people are talking and walking while silverware is hitting plates in the background.,"People chatted as they walked, with the clatter of cutlery against plates in the background, and the distant sounds of birds chirping and vehicles passing by.",,,,,,,,,,,
crowd-16.wav,"A group of people are talking, and one of them coughs.",A large crowd of people are talking and making noise in a common room.,A crowd of people are conversing and creating reverberations.,Men are speaking to one another in a crowded place as the voices of women chatter to one another loudly.,men speaking to each other in a crowded place as the voices of women chatter to each loudly.,A large crowd of people are talking and making noise in a common room.,,,,,,,,,,,
Morgens 04.wav,A chicken crowing and birds chirping at the back,"A mix of a rooster crowing and birds singing, chirping and tweeting.","A mix of rooster crowing, birds singing, chirping and tweeting.","Outside, a rooster crows twice as other birds chirp merrily away.",a rooster crows twice with birds chirping outdoors,"A rooster crowed twice, and the other birds chirped merrily.",,,,,,,,,,,
41_STEAM.wav,A power washer is being used to clean various surfaces at different rates.,"Air sprays in one steady stream and then two shorter, air streams are added in the stream.",An industrial machine whirring inside an enclosed room.,Someone with a power washer is passing the spray over various surfaces of an object at different rates.,"Streams of air occur, one constant, two inconsistent, not in rhythm","Air sprays in one steady stream and then two shorter, air streams are added in the stream.",,,,,,,,,,,
old_man_walking.wav,"""A person scuffing their feet as they walk, while their pants rub together producing a sound.""","""A person walking along scuffing their feet, occasionally their pants rub together making a squeaking sound.""",Someone is walking and dragging their feet along the sidewalk.,Someone wearing shoes is walking around at a brisk pace.,A person walking around in shoes at a brisk pace.,"A person walking along scuffing their feet, occasionally their pants rub together making a squeaking sound.",,,,,,,,,,,
F1 BR 07 Starting Engines.wav,A group of people are having a conversation when a motorcycle starts its engines.,A motorcycle speeds by while an assortment of people are talking.,Engine noises in the foreground while people are screaming and whistling in the background.,People that are talking to each other near a motorcycle.,Several people talking outside while a motorcycle engine roars.,"Several people were talking outside, while the engine roared.",,,,,,,,,,,
sand slide on metal FF678.wav,An assortment of beads move from one container creating an echoing sound.,"Multiple, tiny beads are emptied from one container to another causing long, drawn out rattling echoes resonating over time.",Popcorn is being poured into a cooking pan.,Sand going back and forth in a metal container clanging.,The Popcorn is being added to a cooking pan.,"A handful of beads or sand spills out of a container, clinking as they collide.",,,,,,,,,,,
down stairs running 1.wav,A person on a hard floor is walking back and forth.,"A person skips on a hard surface, then walks lightly before finally running and jumping.","A person skips on a hard surface, then walks lightly, then runs and jumps.",A person walking back and forth on a hard floor.,Something is banging on the floor sometimes slow and sometimes fast.,"A person skips on a hard surface, then walks lightly before finally running and jumping.",,,,,,,,,,,
Key on wood 02.wav,A deep whine is accompanied by pieces of metal hitting each other.,Metal items are being jangled and tossed over and over.,A set of keys are repeatedly thrown onto a table.,Keys are jangled and set down a total of four times.,The keys are shaken and set down a total of four times.,A set of keys are repeatedly thrown onto a table.,,,,,,,,,,,
LittleChild_WoodenFloorFootsteps_01.wav,A hammer is pounding quickly then slows down towards the end.,A pounding fist in an arrhythmic pattern bangs against a wooden surface.,Heavy rhythmic dance steps along a wooden floor followed by standard walking.,Heavy rhythmic dance steps tapping on a wooden floor followed by normal walking.,Someone is repeatedly knocking on a hard surface at a medium pace.,Walking back and forth rhythmically on the wooden floor,,,,,,,,,,,
